Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Canada,CAN,2021,Agricultural land (sq. km),AG.LND.AGRI.K2,569910
Canada,CAN,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,571174
Canada,CAN,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,576878
Canada,CAN,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,578892
Canada,CAN,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,578676
Canada,CAN,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,580500
Canada,CAN,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,579850
Canada,CAN,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,579130
Canada,CAN,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,578420
Canada,CAN,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,577710
Canada,CAN,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,576997
Canada,CAN,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,582800
Canada,CAN,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,588560
Canada,CAN,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,594320
Canada,CAN,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,600080
Canada,CAN,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,605840
Canada,CAN,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,616560
Canada,CAN,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,618010
Canada,CAN,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,619460
Canada,CAN,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,620910
Canada,CAN,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,613081.608
Canada,CAN,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,612870
Canada,CAN,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,612630
Canada,CAN,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,612390
